Field (Oe),Channel 1 Resistance (Ohm),Channel 1 Voltage (V),Channel 2 Resistance (Ohm),Channel 2 Voltage (V),Temperature (K),Current (A)
300.0,-2048.9449799999998,-0.0409788996,-83695.1255,-1.67390251,300.0,20.0e-6
250.0,-762.4133299999999,-0.0152482666,-13863.698299999998,-0.277273966,300.0,20.0e-6
200.0,-5251.653249999999,-0.105033065,-12409.823949999998,-0.248196479,300.0,20.0e-6
150.0,380.84311749999995,0.00761686235,-8394.3078,-0.167886156,300.0,20.0e-6
100.0,-3633.1605649999997,-0.0726632113,-10672.794899999999,-0.213455898,300.0,20.0e-6
50.0,-2329.60372,-0.0465920744,-12107.893949999998,-0.242157879,300.0,20.0e-6
0.0,-2493.8367449999996,-0.0498767349,-12392.3491,-0.247846982,300.0,20.0e-6
-50.0,-2132.0412149999997,-0.0426408243,-9793.790799999999,-0.195875816,300.0,20.0e-6
-100.0,-2310.9429999999998,-0.04621886,-9348.730199999998,-0.186974604,300.0,20.0e-6
-150.0,-2505.248325,-0.0501049665,-8108.446549999999,-0.162168931,300.0,20.0e-6
-200.0,-2272.321095,-0.0454464219,-8484.44055,-0.169688811,300.0,20.0e-6
-250.0,-2332.303525,-0.0466460705,-10488.652349999998,-0.209773047,300.0,20.0e-6
-300.0,-2059.7971049999996,-0.0411959421,-10088.41615,-0.201768323,300.0,20.0e-6
-300.0,-2131.46816,-0.0426293632,-9672.5803,-0.193451606,300.0,20.0e-6
-250.0,-1951.93528,-0.0390387056,-10891.7726,-0.217835452,300.0,20.0e-6
-200.0,-1895.16306,-0.0379032612,-8973.705049999999,-0.179474101,300.0,20.0e-6
-150.0,-1598.4215199999996,-0.0319684304,-8956.58355,-0.179131671,300.0,20.0e-6
-100.0,-1457.9060299999999,-0.0291581206,-10580.400749999999,-0.211608015,300.0,20.0e-6
-50.0,-1434.333535,-0.0286866707,-8621.5656,-0.172431312,300.0,20.0e-6
0.0,-1393.574905,-0.0278714981,-9771.5621,-0.195431242,300.0,20.0e-6
50.0,-1101.59477,-0.0220318954,-11674.532099999999,-0.233490642,300.0,20.0e-6
100.0,-871.6900249999999,-0.0174338005,-11012.91315,-0.220258263,300.0,20.0e-6
150.0,-4969.725235,-0.0993945047,-11120.59695,-0.222411939,300.0,20.0e-6
200.0,-4611.17356,-0.0922234712,-11996.23375,-0.239924675,300.0,20.0e-6
250.0,-4488.830915,-0.0897766183,-12819.708399999998,-0.256394168,300.0,20.0e-6
300.0,-4141.016799999999,-0.082820336,-12926.8562,-0.258537124,300.0,20.0e-6
300.0,-44.261371849999996,-0.000885227437,-11578.92045,-0.231578409,300.0,20.0e-6
250.0,-4681.47665,-0.093629533,-6641.31845,-0.132826369,300.0,20.0e-6
200.0,-5420.420749999999,-0.108408415,-9271.085549999998,-0.185421711,300.0,20.0e-6
150.0,-4892.081999999999,-0.09784164,-9400.16845,-0.188003369,300.0,20.0e-6
100.0,-4580.658524999999,-0.0916131705,-11192.087599999999,-0.223841752,300.0,20.0e-6
50.0,-3844.319285,-0.0768863857,-9814.80605,-0.196296121,300.0,20.0e-6
0.0,-4195.40289,-0.0839080578,-10951.5396,-0.219030792,300.0,20.0e-6
-50.0,-3291.207,-0.06582414,-10946.095399999998,-0.218921908,300.0,20.0e-6
