Field (Oe),Channel 1 Resistance (Ohm),Channel 1 Voltage (V),Channel 2 Resistance (Ohm),Channel 2 Voltage (V),Temperature (K),Current (A)
300.0,-2.6675429,-0.053350858,1.08617787,0.0217235574,300.0,20.0e-3
280.0,0.469459876,0.00938919752,5.60059575,0.112011915,300.0,20.0e-3
260.0,-2.539580995,-0.0507916199,-1.8281160349999999,-0.0365623207,300.0,20.0e-3
240.0,-3.816301525,-0.0763260305,-0.306419889,-0.00612839778,300.0,20.0e-3
220.0,0.403949046,0.00807898092,-1.480691735,-0.0296138347,300.0,20.0e-3
200.0,-1.90229541,-0.0380459082,-1.36272529,-0.0272545058,300.0,20.0e-3
180.0,-3.2941404899999998,-0.0658828098,-8.02482625,-0.160496525,300.0,20.0e-3
160.0,-3.5282606549999995,-0.0705652131,-10.07567475,-0.201513495,300.0,20.0e-3
140.0,-4.330027105,-0.0866005421,-10.47400245,-0.209480049,300.0,20.0e-3
120.0,-4.28102096,-0.0856204192,-9.40770385,-0.188154077,300.0,20.0e-3
100.0,-5.2507868,-0.105015736,-8.27578255,-0.165515651,300.0,20.0e-3
80.0,-0.3055252455,-0.00611050491,-7.145810099999999,-0.142916202,300.0,20.0e-3
60.0,-4.919786595000001,-0.0983957319,-11.1867584,-0.223735168,300.0,20.0e-3
40.0,-5.46223715,-0.109244743,-12.593522949999999,-0.251870459,300.0,20.0e-3
20.0,0.21982005849999997,0.00439640117,-8.7585207,-0.175170414,300.0,20.0e-3
0.0,-3.1825546599999996,-0.0636510932,-11.6382945,-0.23276589,300.0,20.0e-3
-20.0,-3.840726335,-0.0768145267,-10.8926074,-0.217852148,300.0,20.0e-3
-40.0,-4.052251885,-0.0810450377,-10.458223649999999,-0.209164473,300.0,20.0e-3
-60.0,-4.497231875,-0.0899446375,-9.045459899999999,-0.180909198,300.0,20.0e-3
-80.0,-4.76839952,-0.0953679904,-10.2278878,-0.204557756,300.0,20.0e-3
-100.0,-5.0630622999999995,-0.101261246,-9.71295065,-0.194259013,300.0,20.0e-3
-120.0,-5.4409320999999995,-0.108818642,-9.58026265,-0.191605253,300.0,20.0e-3
-140.0,-0.32520619700000003,-0.00650412394,-8.20414435,-0.164082887,300.0,20.0e-3
-160.0,-2.542297545,-0.0508459509,-9.92344365,-0.198468873,300.0,20.0e-3
-180.0,-2.96115152,-0.0592230304,-11.0130594,-0.220261188,300.0,20.0e-3
-200.0,-3.14218041,-0.0628436082,-9.84864775,-0.196972955,300.0,20.0e-3
-220.0,-3.59518824,-0.0719037648,-8.31980935,-0.166396187,300.0,20.0e-3
-240.0,-3.85849381,-0.0771698762,-10.1452824,-0.202905648,300.0,20.0e-3
-260.0,-4.45150931,-0.0890301862,-12.00568535,-0.240113707,300.0,20.0e-3
-280.0,-4.641198080000001,-0.0928239616,-9.5319018,-0.190638036,300.0,20.0e-3
-300.0,-4.60272491,-0.0920544982,-11.0231924,-0.220463848,300.0,20.0e-3
-300.0,-5.0522771,-0.101045542,-10.19456105,-0.203891221,300.0,20.0e-3
-280.0,-5.3505313999999995,-0.107010628,-10.5630253,-0.211260506,300.0,20.0e-3
-260.0,-0.26031140599999997,-0.00520622812,-8.2799995,-0.16559999,300.0,20.0e-3
-240.0,-1.3848574,-0.027697148,-9.92944855,-0.198588971,300.0,20.0e-3
-220.0,-1.329008605,-0.0265801721,-11.7193823,-0.234387646,300.0,20.0e-3
-200.0,-1.5816505049999998,-0.0316330101,-12.747760999999999,-0.25495522,300.0,20.0e-3
-180.0,-1.5839827850000001,-0.0316796557,-11.77184755,-0.235436951,300.0,20.0e-3
-160.0,-1.9763648200000001,-0.0395272964,-13.046946,-0.26093892,300.0,20.0e-3
-140.0,-1.970527675,-0.0394105535,-11.9094913,-0.238189826,300.0,20.0e-3
-120.0,-2.6468433699999996,-0.0529368674,-12.9770276,-0.259540552,300.0,20.0e-3
-100.0,-2.4919602700000003,-0.0498392054,-9.990133049999999,-0.199802661,300.0,20.0e-3
-80.0,-3.115723455,-0.0623144691,-10.224122049999998,-0.204482441,300.0,20.0e-3
-60.0,-2.83908829,-0.0567817658,-8.70081375,-0.174016275,300.0,20.0e-3
-40.0,-3.0235847650000003,-0.0604716953,-9.647953450000001,-0.192959069,300.0,20.0e-3
-20.0,-3.072277255,-0.0614455451,-10.1781652,-0.203563304,300.0,20.0e-3
0.0,-3.54438644,-0.0708877288,-12.061872849999999,-0.241237457,300.0,20.0e-3
20.0,-3.358206055,-0.0671641211,-10.7084435,-0.21416887,300.0,20.0e-3
40.0,-3.591543895,-0.0718308779,-10.29543885,-0.205908777,300.0,20.0e-3
60.0,-3.543471275,-0.0708694255,-11.49672075,-0.229934415,300.0,20.0e-3
80.0,-3.828089115,-0.0765617823,-12.95592065,-0.259118413,300.0,20.0e-3
100.0,-3.986488775,-0.0797297755,-12.0278065,-0.24055613,300.0,20.0e-3
120.0,-4.16994825,-0.083398965,-11.18975815,-0.223795163,300.0,20.0e-3
140.0,-4.1349788,-0.082699576,-10.34424045,-0.206884809,300.0,20.0e-3
160.0,-4.32266996,-0.0864533992,-12.25694325,-0.245138865,300.0,20.0e-3
180.0,-4.51689364,-0.0903378728,-11.64889955,-0.232977991,300.0,20.0e-3
200.0,-4.723982765000001,-0.0944796553,-10.86495945,-0.217299189,300.0,20.0e-3
220.0,-4.4378416650000005,-0.0887568333,-9.8329228,-0.196658456,300.0,20.0e-3
240.0,-4.91970552,-0.0983941104,-11.94138795,-0.238827759,300.0,20.0e-3
260.0,-4.637014755,-0.0927402951,-10.0702904,-0.201405808,300.0,20.0e-3
280.0,-4.901002685,-0.0980200537,-11.555519349999999,-0.231110387,300.0,20.0e-3
300.0,-5.11092485,-0.102218497,-10.2738686,-0.205477372,300.0,20.0e-3
300.0,0.368466666,0.00736933332,-12.10387225,-0.242077445,300.0,20.0e-3
280.0,-8.149242099999999,-0.162984842,-0.575560665,-0.0115112133,300.0,20.0e-3
260.0,-11.09114035,-0.221822807,-7.24688465,-0.144937693,300.0,20.0e-3
240.0,-10.695156149999999,-0.213903123,-8.00029425,-0.160005885,300.0,20.0e-3
220.0,-14.820997250000001,-0.296419945,-5.2798342499999995,-0.105596685,300.0,20.0e-3
200.0,-15.253955450000001,-0.305079109,-6.5586619,-0.131173238,300.0,20.0e-3
180.0,-16.09762705,-0.321952541,-8.7958691,-0.175917382,300.0,20.0e-3
160.0,-16.85409905,-0.337081981,-9.27747515,-0.185549503,300.0,20.0e-3
140.0,-17.48897645,-0.349779529,-10.636497050000001,-0.212729941,300.0,20.0e-3
120.0,-17.9048912,-0.358097824,-8.534478850000001,-0.170689577,300.0,20.0e-3
100.0,-18.64189425,-0.372837885,-10.65756285,-0.213151257,300.0,20.0e-3
80.0,-19.0038373,-0.380076746,-10.9546087,-0.219092174,300.0,20.0e-3
60.0,-19.60842885,-0.392168577,-9.49034395,-0.189806879,300.0,20.0e-3
40.0,-19.51966185,-0.390393237,-9.10613385,-0.182122677,300.0,20.0e-3
20.0,-19.644646700000003,-0.392892934,-10.39831145,-0.207966229,300.0,20.0e-3
0.0,-20.16323605,-0.403264721,-11.61783765,-0.232356753,300.0,20.0e-3
-20.0,-20.1185584,-0.402371168,-10.918266749999999,-0.218365335,300.0,20.0e-3
-40.0,-20.40973985,-0.408194797,-10.82959215,-0.216591843,300.0,20.0e-3
