[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3900589104.8775,08/07/2023,4:57 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,MMC1154,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM783,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,771,PREAMP_SERIAL_NUMBER
INFO,LB776,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Glass w 3d,SAMPLE_MATERIAL
INFO,QD Brass ,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3900589109.319,300.240777954676,3000.16040039063,,,2,,,,55.9430001358986,,,,,,,300.240777954676,300.240777954676,3000.16040039063,3000.16040039063,,,34.2788391113281,,,,,298.339080810547,0,0,0,0.0244140625,26.3929634094238,,,,,,,,,,,,,,,,
sample offset = 35 mm touchdown = 49.9200001358986 mm,3900589118.563,300.238708496094,3000.14367675781,0.000127140902790054,2.41530967723253E-6,1,0.499626677034896,40.0298881530762,2.00271189690365,55.9299997985363,0.000642016774533057,0.000121265118647613,0.25,3.75838002620012E-7,0.000127116291214811,8.66125283353E-7,300.238708496094,300.238708496094,3000.13818359375,3000.14916992188,48.5641431568513,20.5929177212815,34.3068962097168,0,0,0,20,298.339477539063,1,4,1,2.23587036132813,30.3030319213867,,,,,,,,,,,,,,,,
,3900589125.1975,300.232437133789,2999.79467773438,0.000124690310127764,2.33475795872841E-6,1,0.499626677034896,40.0298881530762,2.00284310874998,55.9399984776974,0.000627755742697941,0.000129303577341706,0.25,2.42057475766774E-6,0.000124658280463828,2.90105054354532E-6,300.229522705078,300.229522705078,2999.42895507812,3000.16040039063,48.9276004182936,20.5921357866646,34.3268585205078,0,0,0,20,298.339477539063,1,6,1,2.23480224609375,31.7693061828613,,,,,,,,,,,,,,,,
,3900589125.537,300.236190795898,2997.99145507812,0.000124438753155932,2.4947307466087E-6,1,0.499626677034896,40.0298881530762,2.00281771282824,55.9399984776974,0.00062765829949223,0.000122708066068366,0.25,1.16229656633412E-6,0.000124411609335466,1.6420239037015E-6,300.2353515625,300.2353515625,2996.55395507812,2999.42895507812,48.7658033148129,20.594478024113,34.3284759521484,0,0,0,20,298.340270996094,1,6,1,2.22549438476562,31.2805480957031,,,,,,,,,,,,,,,,
,3900589126.059,300.237030029297,2993.72937011719,0.00012449105679923,2.35840668393839E-6,1,0.499626677034896,40.0298881530762,2.00281771282824,55.9299997985363,0.000629174381385252,0.000116020484132472,0.25,-1.70991032029802E-7,0.000124469042786124,3.0917936578357E-7,300.237030029297,300.237030029297,2991.74609375,2995.71264648438,48.1866165820628,20.594478024113,34.3230819702148,0,0,0,20,298.340454101562,1,6,1,2.22259521484375,33.2355842590332,,,,,,,,,,,,,,,,
,3900589126.5345,300.233657836914,2988.76489257812,0.000124274920114474,2.48445495775124E-6,1,0.499626677034896,40.0298881530762,2.00288457363399,55.9299997985363,0.000629717432605042,0.000107131991351319,0.25,-1.89068813400421E-6,0.000124259589806634,-1.41103172357899E-6,300.237030029297,300.237030029297,2986.78198242188,2990.74780273438,48.4187602522744,20.5971054180553,34.3260459899902,0,0,0,20,298.336517333984,1,6,1,2.22122192382813,32.7468223571777,,,,,,,,,,,,,,,,
,3900589127.0485,300.232620239258,2983.77880859375,0.000124278266993536,1.80405353031495E-6,1,0.499626677034896,40.0298881530762,2.00288457363399,55.9299997985363,0.000627605463817717,0.000118591802759951,0.25,3.76677932007376E-7,0.000124254194718334,8.55936653814846E-7,300.230285644531,300.230285644531,2981.7470703125,2985.810546875,49.7811387612937,20.5971054180553,34.3195724487305,0,0,0,20,298.339050292969,1,6,1,2.230224609375,32.2580642700195,,,,,,,,,,,,,,,,
,3900589127.5495,300.236541748047,2978.29479980469,0.000122657083111056,2.3539242968936E-6,1,0.499626677034896,40.0298881530762,2.00287561933396,55.9299997985363,0.000619919856998084,0.000114331266951607,0.25,-1.65157699333586E-7,0.000122635382250885,3.07939725414105E-7,300.234954833984,300.234954833984,2975.8046875,2980.78491210937,48.9791879005629,20.5934475494683,34.317684173584,0,0,0,20,298.335510253906,1,6,1,2.21725463867187,33.2355842590332,,,,,,,,,,,,,,,,
,3900589128.059,300.234283447266,2973.77587890625,0.000122586565463313,2.47914446199797E-6,1,0.499626677034896,40.0298881530762,2.00287561933396,55.9399984776974,0.000620039002394753,0.000111706592596693,0.25,-6.71506646688535E-7,0.000122566838084835,-1.98584639480525E-7,300.238128662109,300.238128662109,2971.7470703125,2975.8046875,48.955739044986,20.5934475494683,34.3141784667969,0,0,0,20,298.336486816406,1,6,1,2.2222900390625,31.2805480957031,,,,,,,,,,,,,,,,
,3900589128.5315,300.233795166016,2969.22436523438,0.000124284475134922,2.58665366874683E-6,1,0.499626677034896,40.0298881530762,2.00267932410228,55.9399984776974,0.000628699054094374,0.000112532678749833,0.25,-8.21403396008367E-7,0.000124265018465814,-3.41904430986011E-7,300.230438232422,300.230438232422,2966.70166015625,2971.7470703125,47.8301939772935,20.5934919310427,34.3128280639648,0,0,0,20,298.340240478516,1,6,1,2.22213745117187,31.2805480957031,,,,,,,,,,,,,,,,
